original_file	pop	indiv_count	sample_value	replicate_number	min_allele_freq	est_type	est_ne	95ci_low	95ci_high	overall_rsquared	expected_rsquared	indep_comparisons	harmon_mean_samp_size
/home/sinless/Summer2016/negui/Output/wfrogneg.r2.genepop	13	247	1.0	0	0.01	ld	47.9	47.2	48.7	0.01075	0.0041	79800	247.0
/home/sinless/Summer2016/negui/Output/wfrogneg.r2.genepop	14	193	1.0	0	0.01	ld	38.8	38.2	39.5	0.01339	0.00527	79800	193.0
/home/sinless/Summer2016/negui/Output/wfrogneg.r2.genepop	15	156	1.0	0	0.01	ld	36.5	35.9	37.2	0.01515	0.00654	79800	156.0
/home/sinless/Summer2016/negui/Output/wfrogneg.r2.genepop	16	124	1.0	0	0.01	ld	22.8	22.4	23.2	0.02155	0.00827	79800	124.0
/home/sinless/Summer2016/negui/Output/wfrogneg.r2.genepop	17	103	1.0	0	0.01	ld	25.4	24.9	25.9	0.02207	0.01001	79800	103.0
/home/sinless/Summer2016/negui/Output/wfrogneg.r2.genepop	18	80	1.0	0	0.01	ld	15.9	15.6	16.3	0.0312	0.013	79800	80.0
/home/sinless/Summer2016/negui/Output/wfrogneg.r2.genepop	19	65	1.0	0	0.01	ld	17.0	16.6	17.4	0.03336	0.01614	79800	65.0
/home/sinless/Summer2016/negui/Output/wfrogneg.r2.genepop	20	50	1.0	0	0.01	ld	10.6	10.3	10.8	0.04663	0.02128	79401	50.0
/home/sinless/Summer2016/negui/Output/wfrogneg.r2.genepop	21	40	1.0	0	0.01	ld	22.1	21.4	22.8	0.04069	0.02699	79800	40.0
/home/sinless/Summer2016/negui/Output/wfrogneg.r2.genepop	22	33	1.0	0	0.01	ld	8.3	8.0	8.6	0.06339	0.03323	73920	33.0
/home/sinless/Summer2016/negui/Output/wfrogneg.r3.genepop	1	1000	1.0	0	0.01	ld	Inf	66527.8	Inf	0.001	0.001	79800	1000.0
/home/sinless/Summer2016/negui/Output/wfrogneg.r3.genepop	2	597	1.0	0	0.01	ld	205.9	201.8	210.1	0.00329	0.00168	79800	597.0
/home/sinless/Summer2016/negui/Output/wfrogneg.r3.genepop	3	597	1.0	0	0.01	ld	184.0	180.5	187.6	0.00348	0.00168	79800	597.0
/home/sinless/Summer2016/negui/Output/wfrogneg.r3.genepop	4	597	1.0	0	0.01	ld	111.7	109.9	113.4	0.00461	0.00168	79800	597.0
/home/sinless/Summer2016/negui/Output/wfrogneg.r3.genepop	5	597	1.0	0	0.01	ld	114.1	112.3	115.9	0.00455	0.00168	79800	597.0
/home/sinless/Summer2016/negui/Output/wfrogneg.r3.genepop	6	597	1.0	0	0.01	ld	105.3	103.7	107.0	0.00479	0.00168	79800	597.0
/home/sinless/Summer2016/negui/Output/wfrogneg.r3.genepop	7	597	1.0	0	0.01	ld	94.4	93.0	95.8	0.00514	0.00168	79800	597.0
/home/sinless/Summer2016/negui/Output/wfrogneg.r3.genepop	8	597	1.0	0	0.01	ld	101.4	99.8	102.9	0.00491	0.00168	79800	597.0
/home/sinless/Summer2016/negui/Output/wfrogneg.r3.genepop	9	597	1.0	0	0.01	ld	95.7	94.3	97.2	0.00509	0.00168	79800	597.0
/home/sinless/Summer2016/negui/Output/wfrogneg.r3.genepop	10	483	1.0	0	0.01	ld	92.0	90.6	93.5	0.00562	0.00208	79800	483.0
/home/sinless/Summer2016/negui/Output/wfrogneg.r3.genepop	11	379	1.0	0	0.01	ld	75.1	73.9	76.3	0.00698	0.00266	79800	379.0
/home/sinless/Summer2016/negui/Output/wfrogneg.r3.genepop	12	307	1.0	0	0.01	ld	66.6	65.4	67.7	0.00814	0.00329	79800	307.0
/home/sinless/Summer2016/negui/Output/wfrogneg.r3.genepop	13	245	1.0	0	0.01	ld	62.1	61.0	63.2	0.00932	0.00413	79800	245.0
/home/sinless/Summer2016/negui/Output/wfrogneg.r3.genepop	14	194	1.0	0	0.01	ld	45.6	44.8	46.4	0.01222	0.00524	79800	194.0
/home/sinless/Summer2016/negui/Output/wfrogneg.r3.genepop	15	156	1.0	0	0.01	ld	38.3	37.6	39.0	0.01477	0.00654	79800	156.0
/home/sinless/Summer2016/negui/Output/wfrogneg.r3.genepop	16	125	1.0	0	0.01	ld	21.1	20.8	21.5	0.02244	0.0082	79800	125.0
/home/sinless/Summer2016/negui/Output/wfrogneg.r3.genepop	17	99	1.0	0	0.01	ld	21.4	21.0	21.8	0.02448	0.01043	79800	99.0
/home/sinless/Summer2016/negui/Output/wfrogneg.r3.genepop	18	79	1.0	0	0.01	ld	17.9	17.5	18.3	0.02963	0.01317	79800	79.0
/home/sinless/Summer2016/negui/Output/wfrogneg.r3.genepop	19	65	1.0	0	0.01	ld	19.2	18.8	19.6	0.03163	0.01614	79800	65.0
/home/sinless/Summer2016/negui/Output/wfrogneg.r3.genepop	20	52	1.0	0	0.01	ld	7.6	7.4	7.8	0.05221	0.02041	79800	52.0
/home/sinless/Summer2016/negui/Output/wfrogneg.r3.genepop	21	42	1.0	0	0.01	ld	11.6	11.3	11.9	0.0493	0.02562	79800	42.0
/home/sinless/Summer2016/negui/Output/wfrogneg.r3.genepop	22	32	1.0	0	0.01	ld	5.9	5.7	6.2	0.071	0.03437	79401	32.0
/home/sinless/Summer2016/negui/Output/wfrogneg.r4.genepop	1	1000	1.0	0	0.01	ld	Inf	1160172.8	Inf	0.00099	0.001	79800	1000.0
/home/sinless/Summer2016/negui/Output/wfrogneg.r4.genepop	2	597	1.0	0	0.01	ld	194.6	190.8	198.5	0.00338	0.00168	79800	597.0
/home/sinless/Summer2016/negui/Output/wfrogneg.r4.genepop	3	597	1.0	0	0.01	ld	212.1	207.8	216.5	0.00324	0.00168	79800	597.0
/home/sinless/Summer2016/negui/Output/wfrogneg.r4.genepop	4	597	1.0	0	0.01	ld	134.5	132.3	136.8	0.00412	0.00168	79800	597.0
/home/sinless/Summer2016/negui/Output/wfrogneg.r4.genepop	5	597	1.0	0	0.01	ld	125.1	123.1	127.2	0.0043	0.00168	79800	597.0
/home/sinless/Summer2016/negui/Output/wfrogneg.r4.genepop	6	597	1.0	0	0.01	ld	112.5	110.7	114.3	0.00459	0.00168	79800	597.0
/home/sinless/Summer2016/negui/Output/wfrogneg.r4.genepop	7	597	1.0	0	0.01	ld	99.1	97.6	100.6	0.00498	0.00168	79800	597.0
/home/sinless/Summer2016/negui/Output/wfrogneg.r4.genepop	8	597	1.0	0	0.01	ld	115.3	113.5	117.2	0.00452	0.00168	79800	597.0
/home/sinless/Summer2016/negui/Output/wfrogneg.r4.genepop	9	597	1.0	0	0.01	ld	101.7	100.1	103.2	0.0049	0.00168	79800	597.0
/home/sinless/Summer2016/negui/Output/wfrogneg.r4.genepop	10	481	1.0	0	0.01	ld	107.1	105.3	108.9	0.00514	0.00209	79800	481.0
/home/sinless/Summer2016/negui/Output/wfrogneg.r4.genepop	11	381	1.0	0	0.01	ld	81.9	80.6	83.3	0.00661	0.00265	79800	381.0
/home/sinless/Summer2016/negui/Output/wfrogneg.r4.genepop	12	300	1.0	0	0.01	ld	63.8	62.8	64.9	0.00842	0.00337	79800	300.0
/home/sinless/Summer2016/negui/Output/wfrogneg.r4.genepop	13	242	1.0	0	0.01	ld	69.3	68.0	70.7	0.00885	0.00419	79800	242.0
/home/sinless/Summer2016/negui/Output/wfrogneg.r4.genepop	14	193	1.0	0	0.01	ld	50.5	49.6	51.5	0.0116	0.00527	79800	193.0
/home/sinless/Summer2016/negui/Output/wfrogneg.r4.genepop	15	157	1.0	0	0.01	ld	39.1	38.4	39.9	0.01457	0.0065	79800	157.0
/home/sinless/Summer2016/negui/Output/wfrogneg.r4.genepop	16	125	1.0	0	0.01	ld	35.9	35.2	36.6	0.01696	0.0082	79800	125.0
/home/sinless/Summer2016/negui/Output/wfrogneg.r4.genepop	17	100	1.0	0	0.01	ld	15.9	15.6	16.2	0.02857	0.01032	79800	100.0
/home/sinless/Summer2016/negui/Output/wfrogneg.r4.genepop	18	79	1.0	0	0.01	ld	16.2	15.8	16.5	0.03115	0.01317	79800	79.0
/home/sinless/Summer2016/negui/Output/wfrogneg.r4.genepop	19	64	1.0	0	0.01	ld	16.5	16.1	16.8	0.03411	0.0164	79800	64.0
/home/sinless/Summer2016/negui/Output/wfrogneg.r4.genepop	20	51	1.0	0	0.01	ld	11.4	11.2	11.7	0.0447	0.02083	79800	51.0
/home/sinless/Summer2016/negui/Output/wfrogneg.r4.genepop	21	41	1.0	0	0.01	ld	13.2	12.8	13.6	0.04758	0.02629	79800	41.0
/home/sinless/Summer2016/negui/Output/wfrogneg.r4.genepop	22	34	1.0	0	0.01	ld	8.9	8.7	9.2	0.06085	0.03217	79003	34.0
/home/sinless/Summer2016/negui/Output/wfrogneg.r5.genepop	1	1000	1.0	0	0.01	ld	Inf	58734.9	Inf	0.001	0.001	79800	1000.0
/home/sinless/Summer2016/negui/Output/wfrogneg.r5.genepop	2	597	1.0	0	0.01	ld	200.5	196.5	204.6	0.00333	0.00168	79800	597.0
/home/sinless/Summer2016/negui/Output/wfrogneg.r5.genepop	3	597	1.0	0	0.01	ld	165.2	162.2	168.3	0.00368	0.00168	79800	597.0
/home/sinless/Summer2016/negui/Output/wfrogneg.r5.genepop	4	597	1.0	0	0.01	ld	135.1	132.9	137.4	0.00411	0.00168	79800	597.0
/home/sinless/Summer2016/negui/Output/wfrogneg.r5.genepop	5	597	1.0	0	0.01	ld	111.7	109.9	113.4	0.00461	0.00168	79800	597.0
/home/sinless/Summer2016/negui/Output/wfrogneg.r5.genepop	6	597	1.0	0	0.01	ld	108.3	106.6	110.0	0.0047	0.00168	79800	597.0
/home/sinless/Summer2016/negui/Output/wfrogneg.r5.genepop	7	597	1.0	0	0.01	ld	102.8	101.2	104.4	0.00486	0.00168	79800	597.0
/home/sinless/Summer2016/negui/Output/wfrogneg.r5.genepop	8	597	1.0	0	0.01	ld	98.0	96.6	99.5	0.00501	0.00168	79800	597.0
/home/sinless/Summer2016/negui/Output/wfrogneg.r5.genepop	9	597	1.0	0	0.01	ld	110.0	108.3	111.7	0.00466	0.00168	79800	597.0
/home/sinless/Summer2016/negui/Output/wfrogneg.r5.genepop	10	473	1.0	0	0.01	ld	103.4	101.7	105.2	0.00529	0.00213	79800	473.0
/home/sinless/Summer2016/negui/Output/wfrogneg.r5.genepop	11	385	1.0	0	0.01	ld	93.7	92.1	95.4	0.0061	0.00262	79800	385.0
/home/sinless/Summer2016/negui/Output/wfrogneg.r5.genepop	12	303	1.0	0	0.01	ld	67.4	66.2	68.5	0.00813	0.00334	79800	303.0
/home/sinless/Summer2016/negui/Output/wfrogneg.r5.genepop	13	248	1.0	0	0.01	ld	62.7	61.6	63.9	0.00922	0.00408	79800	248.0
/home/sinless/Summer2016/negui/Output/wfrogneg.r5.genepop	14	192	1.0	0	0.01	ld	43.8	43.0	44.6	0.01255	0.00529	79800	192.0
/home/sinless/Summer2016/negui/Output/wfrogneg.r5.genepop	15	158	1.0	0	0.01	ld	31.5	30.9	32.0	0.01635	0.00646	79800	158.0
/home/sinless/Summer2016/negui/Output/wfrogneg.r5.genepop	16	124	1.0	0	0.01	ld	21.7	21.3	22.1	0.02216	0.00827	79800	124.0
/home/sinless/Summer2016/negui/Output/wfrogneg.r5.genepop	17	97	1.0	0	0.01	ld	20.4	20.0	20.8	0.02535	0.01065	79800	97.0
/home/sinless/Summer2016/negui/Output/wfrogneg.r5.genepop	18	78	1.0	0	0.01	ld	15.4	15.1	15.7	0.03208	0.01334	79800	78.0
/home/sinless/Summer2016/negui/Output/wfrogneg.r5.genepop	19	63	1.0	0	0.01	ld	21.6	21.1	22.2	0.0306	0.01668	79800	63.0
/home/sinless/Summer2016/negui/Output/wfrogneg.r5.genepop	20	52	1.0	0	0.01	ld	13.2	12.9	13.5	0.04166	0.02041	79800	52.0
/home/sinless/Summer2016/negui/Output/wfrogneg.r5.genepop	21	39	1.0	0	0.01	ld	4.3	4.1	4.8	0.06795	0.02774	75855	39.0
/home/sinless/Summer2016/negui/Output/wfrogneg.r5.genepop	22	33	1.0	0	0.01	ld	8.4	8.2	8.7	0.06305	0.03323	78606	33.0
/home/sinless/Summer2016/negui/Output/wfrogneg.r6.genepop	1	1000	1.0	0	0.01	ld	Inf	41729.3	Inf	0.001	0.001	79800	1000.0
/home/sinless/Summer2016/negui/Output/wfrogneg.r6.genepop	2	597	1.0	0	0.01	ld	181.4	178.0	185.0	0.0035	0.00168	79800	597.0
/home/sinless/Summer2016/negui/Output/wfrogneg.r6.genepop	3	597	1.0	0	0.01	ld	193.2	189.5	197.1	0.00339	0.00168	79800	597.0
/home/sinless/Summer2016/negui/Output/wfrogneg.r6.genepop	4	597	1.0	0	0.01	ld	134.0	131.8	136.3	0.00413	0.00168	79800	597.0
/home/sinless/Summer2016/negui/Output/wfrogneg.r6.genepop	5	597	1.0	0	0.01	ld	111.3	109.5	113.0	0.00462	0.00168	79800	597.0
/home/sinless/Summer2016/negui/Output/wfrogneg.r6.genepop	6	597	1.0	0	0.01	ld	95.4	93.9	96.8	0.0051	0.00168	79800	597.0
/home/sinless/Summer2016/negui/Output/wfrogneg.r6.genepop	7	597	1.0	0	0.01	ld	106.9	105.2	108.6	0.00474	0.00168	79800	597.0
/home/sinless/Summer2016/negui/Output/wfrogneg.r6.genepop	8	597	1.0	0	0.01	ld	86.9	85.6	88.2	0.00543	0.00168	79800	597.0
/home/sinless/Summer2016/negui/Output/wfrogneg.r6.genepop	9	597	1.0	0	0.01	ld	112.7	110.9	114.5	0.00459	0.00168	79800	597.0
/home/sinless/Summer2016/negui/Output/wfrogneg.r6.genepop	10	477	1.0	0	0.01	ld	113.4	111.4	115.3	0.005	0.00211	79800	477.0
/home/sinless/Summer2016/negui/Output/wfrogneg.r6.genepop	11	381	1.0	0	0.01	ld	84.6	83.1	86.0	0.00649	0.00265	79800	381.0
/home/sinless/Summer2016/negui/Output/wfrogneg.r6.genepop	12	307	1.0	0	0.01	ld	79.1	77.7	80.5	0.0074	0.00329	79800	307.0
/home/sinless/Summer2016/negui/Output/wfrogneg.r6.genepop	13	243	1.0	0	0.01	ld	53.0	52.1	53.9	0.01021	0.00417	79800	243.0
/home/sinless/Summer2016/negui/Output/wfrogneg.r6.genepop	14	195	1.0	0	0.01	ld	34.7	34.1	35.3	0.01424	0.00521	79800	195.0
/home/sinless/Summer2016/negui/Output/wfrogneg.r6.genepop	15	154	1.0	0	0.01	ld	39.4	38.7	40.2	0.01464	0.00663	79800	154.0
/home/sinless/Summer2016/negui/Output/wfrogneg.r6.genepop	16	124	1.0	0	0.01	ld	33.7	33.1	34.4	0.01755	0.00827	79800	124.0
/home/sinless/Summer2016/negui/Output/wfrogneg.r6.genepop	17	100	1.0	0	0.01	ld	28.9	28.3	29.5	0.02103	0.01032	79800	100.0
/home/sinless/Summer2016/negui/Output/wfrogneg.r6.genepop	18	77	1.0	0	0.01	ld	29.3	28.6	30.1	0.02408	0.01353	79800	77.0
/home/sinless/Summer2016/negui/Output/wfrogneg.r6.genepop	19	64	1.0	0	0.01	ld	21.1	20.6	21.6	0.03067	0.0164	79800	64.0
/home/sinless/Summer2016/negui/Output/wfrogneg.r6.genepop	20	50	1.0	0	0.01	ld	16.6	16.2	17.0	0.03886	0.02128	79800	50.0
/home/sinless/Summer2016/negui/Output/wfrogneg.r6.genepop	21	42	1.0	0	0.01	ld	7.6	7.4	7.8	0.05745	0.02562	79003	42.0
/home/sinless/Summer2016/negui/Output/wfrogneg.r6.genepop	22	32	1.0	0	0.01	ld	7.5	7.2	7.7	0.06663	0.03437	77815	32.0
/home/sinless/Summer2016/negui/Output/wfrogneg.r7.genepop	1	1000	1.0	0	0.01	ld	Inf	327084.0	Inf	0.00099	0.001	79800	1000.0
/home/sinless/Summer2016/negui/Output/wfrogneg.r7.genepop	2	597	1.0	0	0.01	ld	180.4	177.0	183.9	0.00351	0.00168	79800	597.0
/home/sinless/Summer2016/negui/Output/wfrogneg.r7.genepop	3	597	1.0	0	0.01	ld	192.0	188.2	195.8	0.0034	0.00168	79800	597.0
/home/sinless/Summer2016/negui/Output/wfrogneg.r7.genepop	4	597	1.0	0	0.01	ld	104.4	102.8	106.0	0.00481	0.00168	79800	597.0
/home/sinless/Summer2016/negui/Output/wfrogneg.r7.genepop	5	597	1.0	0	0.01	ld	113.8	112.0	115.6	0.00456	0.00168	79800	597.0
/home/sinless/Summer2016/negui/Output/wfrogneg.r7.genepop	6	597	1.0	0	0.01	ld	115.8	114.0	117.7	0.00451	0.00168	79800	597.0
/home/sinless/Summer2016/negui/Output/wfrogneg.r7.genepop	7	597	1.0	0	0.01	ld	117.0	115.2	118.9	0.00448	0.00168	79800	597.0
/home/sinless/Summer2016/negui/Output/wfrogneg.r7.genepop	8	597	1.0	0	0.01	ld	100.7	99.2	102.3	0.00492	0.00168	79800	597.0
/home/sinless/Summer2016/negui/Output/wfrogneg.r7.genepop	9	597	1.0	0	0.01	ld	116.4	114.5	118.3	0.0045	0.00168	79800	597.0
/home/sinless/Summer2016/negui/Output/wfrogneg.r7.genepop	10	475	1.0	0	0.01	ld	101.7	100.0	103.4	0.00533	0.00212	79800	475.0
/home/sinless/Summer2016/negui/Output/wfrogneg.r7.genepop	11	381	1.0	0	0.01	ld	97.1	95.4	98.9	0.00601	0.00265	79800	381.0
/home/sinless/Summer2016/negui/Output/wfrogneg.r7.genepop	12	303	1.0	0	0.01	ld	56.8	55.9	57.7	0.00899	0.00334	79800	303.0
/home/sinless/Summer2016/negui/Output/wfrogneg.r7.genepop	13	241	1.0	0	0.01	ld	56.3	55.3	57.3	0.00991	0.0042	79800	241.0
/home/sinless/Summer2016/negui/Output/wfrogneg.r7.genepop	14	194	1.0	0	0.01	ld	47.6	46.7	48.5	0.01194	0.00524	79800	194.0
/home/sinless/Summer2016/negui/Output/wfrogneg.r7.genepop	15	158	1.0	0	0.01	ld	38.2	37.5	38.9	0.01471	0.00646	79800	158.0
/home/sinless/Summer2016/negui/Output/wfrogneg.r7.genepop	16	123	1.0	0	0.01	ld	26.6	26.1	27.1	0.0199	0.00834	79800	123.0
/home/sinless/Summer2016/negui/Output/wfrogneg.r7.genepop	17	99	1.0	0	0.01	ld	24.7	24.2	25.2	0.0228	0.01043	79800	99.0
/home/sinless/Summer2016/negui/Output/wfrogneg.r7.genepop	18	76	1.0	0	0.01	ld	25.8	25.2	26.4	0.02561	0.01371	79800	76.0
/home/sinless/Summer2016/negui/Output/wfrogneg.r7.genepop	19	67	1.0	0	0.01	ld	18.3	17.9	18.7	0.03179	0.01564	79800	67.0
/home/sinless/Summer2016/negui/Output/wfrogneg.r7.genepop	20	50	1.0	0	0.01	ld	12.5	12.2	12.8	0.04355	0.02128	79800	50.0
